danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.596,0.698,9,-7.793,0,0.0601,0.0088,0.41,0.635,0.134,99.999,audio_features,20MnHnXAUeG2wLEu9rrnbw,spotify:track:20MnHnXAUeG2wLEu9rrnbw,https://api.spotify.com/v1/tracks/20MnHnXAUeG2wLEu9rrnbw,https://api.spotify.com/v1/audio-analysis/20MnHnXAUeG2wLEu9rrnbw,312900,4
0.478,0.326,2,-14.419,0,0.0591,0.683,0.845,0.115,0.286,114.813,audio_features,2W5tBiNy6V95yJVEHTsY6e,spotify:track:2W5tBiNy6V95yJVEHTsY6e,https://api.spotify.com/v1/tracks/2W5tBiNy6V95yJVEHTsY6e,https://api.spotify.com/v1/audio-analysis/2W5tBiNy6V95yJVEHTsY6e,229461,5
0.762,0.519,7,-13.505,1,0.0472,0.094,0.000189,0.113,0.619,89.998,audio_features,2nlyGdvcMIXHrDENeFMIN5,spotify:track:2nlyGdvcMIXHrDENeFMIN5,https://api.spotify.com/v1/tracks/2nlyGdvcMIXHrDENeFMIN5,https://api.spotify.com/v1/audio-analysis/2nlyGdvcMIXHrDENeFMIN5,212423,4
0.639,0.35,0,-12.936,1,0.0319,0.00202,0.664,0.0838,0.861,90.011,audio_features,1qyJwQDjVzmW89WkWCfuvK,spotify:track:1qyJwQDjVzmW89WkWCfuvK,https://api.spotify.com/v1/tracks/1qyJwQDjVzmW89WkWCfuvK,https://api.spotify.com/v1/audio-analysis/1qyJwQDjVzmW89WkWCfuvK,239993,4
0.462,0.505,9,-9.215,0,0.0286,0.108,0.00296,0.318,0.413,81.894,audio_features,1MxAOnGOYRnNYrmTvTzayF,spotify:track:1MxAOnGOYRnNYrmTvTzayF,https://api.spotify.com/v1/tracks/1MxAOnGOYRnNYrmTvTzayF,https://api.spotify.com/v1/audio-analysis/1MxAOnGOYRnNYrmTvTzayF,214128,4
0.113,0.375,9,-6.666,0,0.0354,0.936,0.0165,0.204,0.291,59.068,audio_features,1fxUOPbVnRqA8wy2BxP0M3,spotify:track:1fxUOPbVnRqA8wy2BxP0M3,https://api.spotify.com/v1/tracks/1fxUOPbVnRqA8wy2BxP0M3,https://api.spotify.com/v1/audio-analysis/1fxUOPbVnRqA8wy2BxP0M3,404845,4
0.464,0.503,2,-8.427,0,0.0278,0.64,0.0474,0.422,0.101,93.798,audio_features,0ufBvd5wpgNdXfoAwCAua7,spotify:track:0ufBvd5wpgNdXfoAwCAua7,https://api.spotify.com/v1/tracks/0ufBvd5wpgNdXfoAwCAua7,https://api.spotify.com/v1/audio-analysis/0ufBvd5wpgNdXfoAwCAua7,268085,4
0.289,0.219,8,-18.116,0,0.0384,0.948,0.692,0.161,0.0946,74.339,audio_features,7lZElbBsDiOef8O7N4gtYo,spotify:track:7lZElbBsDiOef8O7N4gtYo,https://api.spotify.com/v1/tracks/7lZElbBsDiOef8O7N4gtYo,https://api.spotify.com/v1/audio-analysis/7lZElbBsDiOef8O7N4gtYo,435537,4
0.733,0.233,9,-16.639,1,0.0527,0.871,0.00299,0.0813,0.371,100.126,audio_features,3SMlPZy6cAQ29CGTbfZET8,spotify:track:3SMlPZy6cAQ29CGTbfZET8,https://api.spotify.com/v1/tracks/3SMlPZy6cAQ29CGTbfZET8,https://api.spotify.com/v1/audio-analysis/3SMlPZy6cAQ29CGTbfZET8,243229,3
0.564,0.617,4,-6.127,0,0.0317,0.63,2.99e-05,0.0885,0.27,76.023,audio_features,2vgUZv1vf0udoQ2mS2FMu0,spotify:track:2vgUZv1vf0udoQ2mS2FMu0,https://api.spotify.com/v1/tracks/2vgUZv1vf0udoQ2mS2FMu0,https://api.spotify.com/v1/audio-analysis/2vgUZv1vf0udoQ2mS2FMu0,265973,4
